country_name,country_code,region,income_group,year,cpi,int_rate,gdp_ growth_rate,gdp,exchange_rate,unemployment_rate
Heavily indebted poor countries (HIPC),HPC,Combined,Not classified,2000,0,0,2.871516966,326572438741.31,0,5.154561362
Croatia,HRV,Europe & Central Asia,High income,2000,0,7.400463107,2.945252995,39678365282.27,8.277666417,16.064
Haiti,HTI,Latin America & Caribbean,Lower middle income,2000,9.333221976,-39.12982237,0.870059259,11150259169.24,21.17066667,8.454
Hungary,HUN,Europe & Central Asia,High income,2000,9.803610169,2.740506113,4.409375018,91691821698.81,282.1791667,6.563
IBRD only,IBD,Combined,Not classified,2000,0,0,5.933845149,10967713297721.70,0,6.55733674
IDA & IBRD total,IBT,Combined,Not classified,2000,0,0,5.762620471,11986910473536.00,0,6.156364062
IDA total,IDA,Combined,Not classified,2000,0,0,3.930607309,1018838746947.16,0,4.437367526
IDA blend,IDB,Combined,Not classified,2000,0,0,3.523842062,510318770293.23,0,3.872825456
Indonesia,IDN,East Asia & Pacific,Upper middle income,2000,3.688620371,-1.654212471,4.920067747,395012382597.56,8421.775,6.077
IDA only,IDX,Combined,Not classified,2000,0,0,4.361930501,508390339276.93,0,4.738546376
Isle of Man,IMN,Europe & Central Asia,High income,2000,0,0,5.300001526,3501118028.55,0.660930833,0
India,IND,South Asia,Lower middle income,2000,4.00943591,8.342610831,3.840991157,800534479623.61,44.941605,7.624
Ireland,IRL,Europe & Central Asia,High income,2000,5.577632699,0,9.403524643,162266448874.28,1.082705081,4.318
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,2000,0,0,5.845527476,258056537599.93,1764.856069,11.696
Iraq,IRQ,Middle East & North Africa,Upper middle income,2000,0,0,16.79613444,101916218527.40,2002.403407,8.058
Iceland,ISL,Europe & Central Asia,High income,2000,5.136471232,12.2809248,4.98504276,11859726688.01,78.61594667,1.936
Israel,ISR,Middle East & North Africa,High income,2000,1.03263641,0,8.582089424,184981435200.17,4.077333333,11.102
Italy,ITA,Europe & Central Asia,High income,2000,2.537685321,5.175823907,3.882098851,1856863206512.55,1.082705081,10.834
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2000,0,11.5395515,0.878703548,12852231986.31,42.9857,6.762
Jordan,JOR,Middle East & North Africa,Lower middle income,2000,0,12.26379235,4.245711921,18380669691.80,0.709,13.7
Japan,JPN,East Asia & Pacific,High income,2000,-0.676578684,3.449521334,2.764647551,3986755544463.82,107.7654983,4.748
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2000,13.18089059,0,9.800000002,66179326672.51,142.1333333,12.75
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2000,0,15.32743345,0.599695391,36630908098.83,76.17554167,2.889
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,2000,0,23.05040235,5.443336633,3518703233.19,47.70383333,1.858
Cambodia,KHM,East Asia & Pacific,Lower middle income,2000,0,0,9.993580323,7459479704.68,3840.75,0.744
Kiribati,KIR,East Asia & Pacific,Lower middle income,2000,0,0,6.742665313,137844792.03,1.724826667,0
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,2000,0,17.88365271,10.04280842,635237944.04,2.7,0
"Korea, Rep.",KOR,East Asia & Pacific,High income,2000,2.259165801,7.447142697,9.060833325,798929132744.30,1130.3625,4.063
Kuwait,KWT,Middle East & North Africa,High income,2000,0,-9.670492972,4.694581871,61264446762.68,0.306751583,0.8
Latin America & Caribbean (excluding high income),LAC,Combined,Not classified,2000,0,0,3.618532572,3046139843290.32,0,9.211665993
Lao PDR,LAO,East Asia & Pacific,Lower middle income,2000,0,5.771115148,5.798782329,4981659930.08,7887.643333,2.046
Lebanon,LBN,Middle East & North Africa,Lower middle income,2000,0,20.67041118,1.34187162,25798443405.57,1507.5,8.603
Liberia,LBR,Sub-Saharan Africa,Low income,2000,0,-21.64040163,28.61593425,2210291803.59,40.9025,2.231
Libya,LBY,Middle East & North Africa,Upper middle income,2000,0,-5.566178581,3.679270408,57579668503.44,0.512189613,19.201
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,2000,0,11.81528447,0.048748554,1459098899.47,2.7,16.49
Latin America & Caribbean,LCN,Combined,Not classified,2000,0,0,3.619158977,3585173594668.05,0,9.461823302
Least developed countries: UN classification,LDC,Combined,Not classified,2000,0,0,4.34518722,425398931270.33,0,4.696210083
Low income,LIC,Combined,Not classified,2000,0,0,2.915099533,218681588208.96,0,5.424962849
Liechtenstein,LIE,Europe & Central Asia,High income,2000,0,0,3.220193082,0.00,0,0
Sri Lanka,LKA,South Asia,Lower middle income,2000,0,0,6.000033158,37755216046.21,77.00511667,7.74
Lower middle income,LMC,Combined,Not classified,2000,0,0,4.203450988,2179416523120.04,0,6.163045251
Low & middle income,LMY,Combined,Not classified,2000,0,0,5.573938127,10437132032542.50,0,5.857454377
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2000,0,10.17067377,3.875546776,1453365294.15,6.939828333,16.227
Late-demographic dividend,LTE,Combined,Not classified,2000,0,0,7.031921775,7083820920707.53,0,5.285264334
Lithuania,LTU,Europe & Central Asia,High income,2000,0.981615479,0,3.418622066,22342117970.71,4,15.931
Luxembourg,LUX,Europe & Central Asia,High income,2000,3.15076707,0,6.938129761,40369840252.81,1.082705081,2.345
Latvia,LVA,Europe & Central Asia,High income,2000,2.654254778,0,5.841026424,15001703493.71,0.6065,14.211
"Macao SAR, China",MAC,East Asia & Pacific,High income,2000,-1.60971884,11.84274925,5.746591005,13677274309.82,8.0259,6.874
St. Martin (French part),MAF,Latin America & Caribbean,High income,2000,0,0,0,0.00,1.082705081,0
Morocco,MAR,Middle East & North Africa,Lower middle income,2000,0,0,2.582180915,56160912155.76,10.62563617,13.58
Monaco,MCO,Europe & Central Asia,High income,2000,0,0,3.910229928,3909415913.18,1.082705081,0
Moldova,MDA,Europe & Central Asia,Upper middle income,2000,31.29930158,5.063989542,2.107716082,3939281163.91,12.43421667,8.539
Madagascar,MDG,Sub-Saharan Africa,Low income,2000,0,13.71748554,4.45685894,7688842733.28,1353.496167,5.8
Maldives,MDV,South Asia,Upper middle income,2000,-1.174756812,7.341436258,3.845810232,1984591801.95,11.77,1.97
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Combined,Not classified,2000,0,0,6.368455407,1983293009875.81,0,8.423650493
Mexico,MEX,Latin America & Caribbean,Upper middle income,2000,9.491561494,5.62825957,5.029283994,945027051125.45,9.455558333,2.646
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2000,0,0,2.454430069,154176500.00,1,0
Middle income,MIC,Combined,Not classified,2000,0,0,5.624189325,10223779041583.10,0,5.883690759
North Macedonia,MKD,Europe & Central Asia,Upper middle income,2000,0,0,4.549135783,6653275727.54,65.90386667,32.2
Mali,MLI,Sub-Saharan Africa,Low income,2000,0,0,-0.060834972,6896025496.15,710.207977,1.414
Malta,MLT,Middle East & North Africa,High income,2000,0,19.06134389,19.68126926,6701025855.64,0.438149992,6.324
Myanmar,MMR,East Asia & Pacific,Lower middle income,2000,0,15.91564946,13.74593056,13523413252.06,6.516725,0.717
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,Combined,Not classified,2000,0,0,5.749205411,1074822371787.36,0,8.726887727
Montenegro,MNE,Europe & Central Asia,Upper middle income,2000,0,0,3.100000059,2680896704.41,1.082705081,30.609
Mongolia,MNG,East Asia & Pacific,Upper middle income,2000,0,22.27952707,1.146062137,3817248910.66,1076.666667,5.993
Northern Mariana Islands,MNP,East Asia & Pacific,High income,2000,0,0,0,0.00,1,0
Mozambique,MOZ,Sub-Saharan Africa,Low income,2000,0,6.651056783,0.766234956,5210292403.60,15.22725,2.833
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2000,0,18.08317788,-3.918025852,3409611141.00,23.89233333,10.033
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,2000,0,16.78843037,8.202791749,6730791855.60,26.24955833,9.138
Malawi,MWI,Sub-Saharan Africa,Low income,2000,0,17.30664374,1.576077626,4736773940.30,59.54380833,5.048
Malaysia,MYS,East Asia & Pacific,Upper middle income,2000,0,-1.085738978,8.85886817,148271359064.95,3.8,3
North America,NAC,Combined,Not classified,2000,3.048148614,0,4.161970419,14887619189514.60,0,4.273168172
Namibia,NAM,Sub-Saharan Africa,Lower middle income,2000,0,3.591989763,3.492183364,5607973667.33,6.939828333,20.3
New Caledonia,NCL,East Asia & Pacific,High income,2000,0,0,2.100108827,0.00,129.201038,17.984
Niger,NER,Sub-Saharan Africa,Low income,2000,0,0,-1.208477741,4522117708.50,710.207977,1.431
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2000,0,-1.140888637,5.015934759,179675448843.37,101.6973333,3.963
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2000,0,8.821366262,4.101590251,7324881903.36,12.68439167,7.162
Netherlands,NLD,Europe & Central Asia,High income,2000,2.360522338,1.473352362,4.219753776,647616371669.35,1.082705081,2.725
Norway,NOR,Europe & Central Asia,High income,2000,3.085506091,0,3.318945701,304696827580.12,8.801841667,3.458
Nepal,NPL,South Asia,Lower middle income,2000,2.478820207,0,6.199999982,13432367221.02,71.09379583,10.551
Nauru,NRU,East Asia & Pacific,High income,2000,0,0,-6.856193465,61929803.67,1.724826667,0
New Zealand,NZL,East Asia & Pacific,High income,2000,2.615234462,4.791445431,2.870051088,119024733715.31,2.201149167,6.13
OECD members,OED,Combined,Not classified,2000,3.063803449,0,4.104083148,36783152879243.40,0,6.715397112
Oman,OMN,Middle East & North Africa,High income,2000,0,-6.298387366,6.192410637,45372727044.56,0.3845,4.331
Other small states,OSS,Combined,Not classified,2000,0,0,7.420403449,81234935111.44,0,11.02632125
Pakistan,PAK,Middle East & North Africa,Lower middle income,2000,0,0,4.260088011,162552194688.57,53.6481865,0.634
Panama,PAN,Latin America & Caribbean,High income,2000,0,12.187225,4.209005479,20639538981.13,1,6.264
Peru,PER,Latin America & Caribbean,Upper middle income,2000,0,25.56984774,2.694371398,87409379264.71,3.49,4.958
Philippines,PHL,East Asia & Pacific,Lower middle income,2000,0,4.81049326,4.382505001,142796015521.85,44.19225,3.767
Palau,PLW,East Asia & Pacific,High income,2000,0,0,-2.603902465,232062061.92,0,0
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2000,0,3.925717979,-2.494841993,11016425270.70,2.782156667,2.92
Poland,POL,Europe & Central Asia,High income,2000,9.900175388,0,4.65633253,283174187558.03,4.346075,14.928
Pre-demographic dividend,PRE,Combined,Not classified,2000,0,0,5.53479964,601789573516.18,0,5.142468693
Puerto Rico (US),PRI,Latin America & Caribbean,High income,2000,0,0,3.271964519,99578589112.86,1,10.08
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,Low income,2000,0,0,0,0.00,0,3.05
Portugal,PRT,Europe & Central Asia,High income,2000,2.853030393,0,3.81617712,193677420326.40,1.082705081,3.806
